"","repository_id","commits","committers","authors","files"
"1",1,8,4,4,3
"2",2,614,15,19,33
"3",4,169,7,8,11
"4",5,2771,163,194,34
"5",6,876,7,7,24
"6",7,690,42,44,17
"7",8,2156,47,55,67
"8",9,246,21,22,31
"9",10,4733,153,187,89
"10",11,402,58,73,18
"11",12,398,13,16,21
"12",13,8367,372,419,86
"13",14,1003,36,50,29
"14",15,979,24,30,31
"15",16,985,25,31,21
"16",17,13,3,4,4
"17",18,1209,109,131,17
"18",19,34,11,12,2
"19",20,305,8,9,9
"20",21,60,7,7,3
"21",22,1823,93,96,20
"22",23,3357,193,231,22
"23",24,1350,95,102,18
"24",25,19,1,1,5
"25",26,86,2,2,11
"26",27,28,6,6,3
"27",28,587,10,16,25
"28",29,30,19,23,9
"29",30,382,35,42,24
"30",31,623,189,211,21
"31",32,1470,226,256,33
"32",33,652,171,200,26
"33",34,1293,237,259,27
"34",35,727,142,165,31
"35",36,4809,59,109,64
"36",37,882,116,139,22
"37",38,4187,259,333,168
"38",39,2908,320,378,89
"39",40,162,29,31,25
"40",41,171,5,9,20
"41",42,546,100,133,25
"42",43,2820,267,363,78
"43",44,4350,264,307,126
"44",45,203,34,41,24
"45",46,275,88,94,43
"46",47,62,5,6,16
"47",48,9910,307,396,200
"48",49,10474,396,562,160
"49",50,6795,464,631,73
"50",51,11989,435,616,92
"51",52,2051,177,194,34
"52",53,5655,393,567,58
"53",54,42671,636,1160,138
"54",55,1513,31,32,23
"55",56,14695,456,696,160
"56",57,1445,51,66,31
"57",58,2605,249,295,45
"58",59,249,9,10,8
"59",60,2921,30,35,63
"60",61,1552,158,188,71
"61",62,3921,351,467,39
"62",63,483,90,104,18
"63",64,344,64,67,19
"64",65,5,2,2,3
"65",66,3920,351,443,68
"66",67,1586,276,307,48
"67",68,843,72,84,51
"68",69,25806,710,1021,121
"69",70,8843,475,640,64
"70",71,9614,515,727,110
"71",72,136,39,42,11
"72",73,97,28,32,7
"73",74,11,4,4,2
"74",75,89,4,5,8
"75",76,88,1,1,9
"76",77,220,2,4,15
"77",78,1989,10,16,37
"78",79,226,57,73,14
"79",80,12027,573,772,91
"80",81,732,232,267,20
"81",82,3924,346,437,42
"82",83,154,15,16,10
"83",84,726,50,63,16
"84",85,533,62,85,14
"85",86,4730,87,131,46
"86",87,1270,104,141,42
"87",88,14486,643,926,83
"88",89,6147,576,708,64
"89",90,467,108,119,14
"90",91,1578,216,246,16
"91",92,1074,105,141,15
"92",93,1262,34,42,62
"93",94,193,69,72,42
"94",95,117,4,4,31
"95",96,2430,216,252,117
"96",97,164,10,10,37
"97",98,313,8,10,40
"98",99,360,55,64,51
"99",100,3400,302,407,142
"100",101,295,73,79,31
"101",102,38,8,11,9
"102",103,4860,445,547,99
"103",104,1317,270,302,46
"104",105,625,108,134,23
"105",106,70,11,11,8
"106",107,19,2,2,5
"107",108,1184,249,299,29
"108",109,532,88,98,39
"109",110,12772,624,847,140
"110",111,243,13,20,23
"111",112,4768,299,383,72
"112",113,433,86,91,28
"113",114,2183,254,305,65
"114",115,514,124,145,33
"115",116,840,156,188,43
"116",117,6264,542,668,82
"117",118,3707,280,388,77
"118",119,5912,226,373,81
"119",120,242,4,5,18
"120",121,1498,69,77,46
"121",122,527,54,72,21
"122",123,1021,147,184,52
"123",124,3346,342,422,71
"124",125,4592,403,494,68
"125",126,411,95,103,27
"126",127,1280,97,115,41
"127",128,3052,156,207,56
"128",129,748,210,237,48
"129",130,483,26,34,41
"130",131,203,74,89,27
"131",132,21,9,9,5
"132",133,3,1,1,3
"133",134,395,70,83,23
"134",135,1563,173,192,46
"135",136,33,4,4,4
"136",137,515,23,25,14
"137",138,479,57,76,13
"138",139,7485,421,543,108
"139",140,1144,9,9,49
"140",141,3563,320,426,79
"141",142,4706,219,271,55
"142",143,2698,307,349,58
"143",144,2505,179,236,76
"144",145,540,100,109,42
"145",146,207,62,67,15
"146",147,2929,238,289,77
"147",148,315,81,99,18
"148",149,147,54,62,12
"149",150,8,4,4,4
"150",151,2160,244,293,35
"151",152,6,2,2,3
"152",153,2740,237,274,53
"153",154,1404,228,278,45
"154",155,182,14,14,28
"155",156,1998,318,359,61
"156",157,46,1,1,9
"157",158,145,34,40,11
"158",159,4809,400,552,86
"159",160,1154,124,147,50
"160",161,139,31,33,25
"161",162,1131,178,198,76
"162",163,5171,438,590,92
"163",164,18221,599,849,182
"164",165,2328,104,121,53
"165",166,98,31,39,10
"166",167,899,192,239,33
"167",168,49,11,13,9
"168",169,2,1,1,2
"169",170,43,8,9,8
"170",171,577,60,63,30
"171",172,7314,250,321,115
"172",173,1123,58,66,39
"173",174,3388,122,204,54
"174",175,122,28,35,5
"175",176,3824,267,336,75
"176",177,70,16,20,14
"177",178,438,149,167,32
"178",179,479,51,58,28
"179",180,341,10,16,8
"180",181,2792,281,337,70
"181",182,465,91,105,19
"182",183,115,28,36,14
"183",184,404,89,95,14
"184",185,109,37,42,19
"185",186,631,35,46,33
"186",187,3722,294,409,109
"187",188,8713,422,562,74
"188",189,672,119,139,36
"189",190,516,58,63,18
"190",191,4,1,1,3
"191",192,106,4,6,15
"192",193,2078,230,294,56
"193",194,1839,271,336,37
"194",195,3038,262,312,74
"195",196,187,86,92,20
"196",197,4088,416,511,59
"197",198,1474,195,220,42
"198",199,1969,232,265,102
"199",200,2200,303,390,53
"200",201,1945,100,149,44
"201",202,361,125,135,18
"202",203,14992,617,905,103
"203",204,2201,142,204,38
"204",205,36304,837,1286,165
"205",206,330,5,6,16
"206",207,92,4,7,11
"207",208,477,47,53,16
"208",209,3399,345,437,44
"209",210,2508,303,380,44
"210",211,345,17,28,27
"211",212,3719,408,491,46
"212",213,5518,401,522,83
"213",214,389,17,38,9
"214",215,4128,60,183,51
"215",216,1547,25,60,16
"216",217,4001,104,129,61
"217",218,6,1,1,3
"218",219,11068,170,243,118
"219",220,23,6,7,8
"220",221,537,103,112,14
"221",222,119,14,21,10
"222",223,1424,188,226,32
"223",224,34955,423,687,213
"224",225,920,104,118,30
"225",226,22,2,2,4
"226",227,1637,40,59,40
"227",228,4538,93,120,60
"228",229,78,3,3,4
"229",230,15816,214,321,94
